Part_ID, Word_RT_Mean, Word_SD, Word_Acc, Word_Eff, Pic_RT_Mean, Pic_SD, Pic_Acc, Pic_Eff, Easy_RT_Mean, Easy_SD, Easy_Acc, Easy_Eff, Hard_RT_Mean, Hard_SD, Hard_Acc, Hard_Eff
10, 0.4602, 0.08, 79.49, 0.58, 0.4473, 0.07, 84.62, 0.53, 0.4311,         0.08, 84.21, 0.51, 0.4849, 0.12, 65.00, 0.75
11, 0.5137, 0.09, 79.49, 0.65, 0.4785, 0.08, 97.44, 0.49, 0.4128,         0.07, 100.00, 0.41, 0.4512, 0.12, 89.47, 0.50
12, 0.4645, 0.09, 68.29, 0.68, 0.4704, 0.08, 84.21, 0.56, 0.4288,         0.09, 84.21, 0.51, 0.4384, 0.11, 66.67, 0.66
13, 0.5207, 0.08, 76.92, 0.68, 0.4958, 0.08, 97.37, 0.51, 0.5865,         0.13, 31.58, 1.86, 0.6522, 0.15, 40.00, 1.63
14, 0.6232, 0.13, 76.92, 0.81, 0.5832, 0.12, 92.68, 0.63, 0.5146,         0.13, 89.47, 0.58, 0.5309, 0.13, 70.00, 0.76
15, 0.5100, 0.11, 87.50, 0.58, 0.5383, 0.09, 89.74, 0.60, 0.5061,         0.12, 75.00, 0.67, 0.4794, 0.09, 75.00, 0.64
16, 0.5364, 0.12, 85.00, 0.63, 0.4979, 0.09, 79.49, 0.63, 0.4534,         0.10, 84.21, 0.54, 0.4821, 0.11, 80.00, 0.60
17, 0.5265, 0.12, 73.68, 0.71, 0.4989, 0.11, 80.00, 0.62, 0.4786,         0.12, 73.68, 0.65, 0.4745, 0.10, 70.00, 0.68
18, 0.5173, 0.08, 100.00, 0.52, 0.5665, 0.08, 97.44, 0.58, 0.4881,         0.10, 90.48, 0.54, 0.4539, 0.08, 61.11, 0.74
19, 0.4985, 0.10, 65.00, 0.77, 0.5171, 0.10, 79.49, 0.65, 0.4946,         0.12, 66.67, 0.74, 0.5285, 0.12, 73.68, 0.72
1, 0.5600, 0.11, 82.05, 0.68, 0.5188, 0.09, 94.87, 0.55, 0.5209,         0.10, 83.33, 0.63, 0.5338, 0.11, 85.71, 0.62
20, 0.5098, 0.11, 70.00, 0.73, 0.5472, 0.11, 97.44, 0.56, 0.5479,         0.13, 78.95, 0.69, 0.5240, 0.12, 55.00, 0.95
21, 0.5668, 0.16, 64.10, 0.88, 0.5733, 0.15, 74.36, 0.77, 0.5645,         0.15, 42.86, 1.32, 0.5179, 0.17, 26.32, 1.97
22, 0.5195, 0.09, 89.74, 0.58, 0.5155, 0.09, 92.50, 0.56, 0.4751,         0.10, 95.00, 0.50, 0.4498, 0.08, 73.68, 0.61
23, 0.6151, 0.13, 68.29, 0.90, 0.5563, 0.11, 84.62, 0.66, 0.4710,         0.11, 85.00, 0.55, 0.4617, 0.12, 70.00, 0.66
24, 0.4856, 0.10, 69.23, 0.70, 0.4617, 0.10, 97.44, 0.47, 0.4716,         0.12, 94.44, 0.50, 0.5398, 0.13, 85.00, 0.64
25, 0.4594, 0.09, 71.05, 0.65, 0.4356, 0.09, 75.61, 0.58, 0.3460,         0.07, 70.00, 0.49, 0.3615, 0.08, 65.00, 0.56
26, 0.5369, 0.10, 70.00, 0.77, 0.5241, 0.09, 89.74, 0.58, 0.4604,         0.11, 83.33, 0.55, 0.5106, 0.12, 75.00, 0.68
27, 0.4572, 0.08, 70.00, 0.65, 0.4506, 0.10, 81.58, 0.55, 0.4378,         0.09, 68.42, 0.64, 0.4490, 0.10, 68.42, 0.66
28, 0.4224, 0.10, 68.42, 0.62, 0.4255, 0.10, 79.49, 0.54, 0.3733,         0.09, 55.00, 0.68, 0.4216, 0.08, 61.11, 0.69
29, 0.4204, 0.08, 71.05, 0.59, 0.4516, 0.10, 73.17, 0.62, 0.3622,         0.05, 88.89, 0.41, 0.3886, 0.07, 85.71, 0.45
2, 0.5247, 0.12, 72.50, 0.72, 0.5122, 0.08, 82.50, 0.62, 0.5149,         0.11, 80.00, 0.64, 0.5247, 0.10, 42.11, 1.25
30, 0.4831, 0.08, 87.18, 0.55, 0.4401, 0.07, 92.11, 0.48, 0.3937,         0.07, 94.74, 0.42, 0.4214, 0.08, 84.21, 0.50
31, 0.5440, 0.12, 71.79, 0.76, 0.5807, 0.13, 85.00, 0.68, 0.5331,         0.16, 75.00, 0.71, 0.5611, 0.16, 57.89, 0.97
32, 0.5551, 0.11, 79.49, 0.70, 0.5181, 0.11, 92.31, 0.56, 0.5179,         0.13, 85.00, 0.61, 0.5705, 0.14, 89.47, 0.64
33, 0.5076, 0.14, 67.50, 0.75, 0.4968, 0.12, 80.00, 0.62, 0.4617,         0.14, 65.00, 0.71, 0.4688, 0.14, 61.90, 0.76
34, 0.5656, 0.14, 78.95, 0.72, 0.6166, 0.12, 92.11, 0.67, 0.5819,         0.15, 84.21, 0.69, 0.6202, 0.17, 75.00, 0.83
35, 0.4955, 0.08, 69.23, 0.72, 0.4411, 0.08, 92.11, 0.48, 0.4923,         0.11, 100.00, 0.49, 0.5009, 0.11, 90.00, 0.56
